Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Andre Drummond,CHA,28,61.0,60.9,-0.107,0.657,59.0,63.0,60.0,60.0,61.0,62.0,0.157
Kris Dunn,ORL,27,41.0,37.2,-3.756,2.983,35.0,57.0,36.0,36.0,37.0,38.0,0.025
Cleanthony Early,BOS,30,53.0,53.2,0.235,0.973,50.0,55.0,52.0,53.0,54.0,54.0,0.441
Jarell Eddie,BOS,30,51.0,50.1,-0.908,0.907,48.0,52.0,49.0,49.0,51.0,51.0,0.052
Joel Embiid,DAL,27,56.0,56.2,0.175,1.414,54.0,66.0,55.0,56.0,56.0,57.0,0.243
James Ennis III,IND,31,36.0,30.7,-5.315,0.654,29.0,32.0,30.0,30.0,31.0,31.0,0.000
Tyler Ennis,PHI,27,62.0,61.7,-0.259,0.747,60.0,64.0,61.0,61.0,62.0,63.0,0.136
Dante Exum,DAL,26,54.0,53.2,-0.820,1.532,50.0,65.0,52.0,52.0,54.0,54.0,0.063
Kay Felder,NYK,26,42.0,38.1,-3.945,2.316,36.0,58.0,37.0,37.0,39.0,39.0,0.014
Cristiano Felício,MEM,29,38.0,36.0,-1.986,2.379,34.0,55.0,35.0,35.0,36.0,37.0,0.020
Yogi Ferrell,CHA,28,57.0,55.5,-1.459,1.384,53.0,66.0,54.0,55.0,56.0,56.0,0.019
Dorian Finney-Smith,BOS,28,43.0,42.3,-0.715,1.915,39.0,58.0,41.0,41.0,43.0,43.0,0.099
Bryn Forbes,DEN,28,45.0,42.0,-2.960,2.352,39.0,59.0,40.0,41.0,42.0,43.0,0.021
Evan Fournier,NOL,29,46.0,44.0,-2.016,2.322,41.0,59.0,42.0,43.0,44.0,45.0,0.025
Jamaal Franklin,FA,30,39.0,35.4,-3.599,0.785,33.0,38.0,34.0,35.0,36.0,36.0,0.000
Patricio Garino,DEN,28,41.0,37.9,-3.096,2.407,35.0,57.0,36.0,37.0,38.0,39.0,0.016
Marcus Georges-Hunt,LAC,27,41.0,38.9,-2.055,2.701,36.0,58.0,37.0,38.0,39.0,40.0,0.025
Rudy Gobert,DEN,29,32.0,29.9,-2.092,2.043,28.0,46.0,29.0,29.0,30.0,31.0,0.023
Archie Goodwin,FA,27,33.0,32.8,-0.191,2.054,30.0,50.0,32.0,32.0,33.0,33.0,0.094
Aaron Gordon,MIL,26,56.0,54.1,-1.875,1.713,51.0,67.0,53.0,53.0,55.0,55.0,0.019
Jerami Grant,TOR,27,55.0,53.1,-1.898,1.639,50.0,66.0,52.0,52.0,54.0,54.0,0.018
Jerian Grant,SA,29,53.0,49.9,-3.134,2.022,46.0,64.0,48.0,49.0,51.0,51.0,0.018
Erick Green,FA,30,34.0,32.8,-1.245,0.765,31.0,35.0,32.0,32.0,33.0,34.0,0.003
P.J. Hairston,DAL,29,48.0,43.2,-4.782,2.567,40.0,60.0,42.0,42.0,44.0,44.0,0.025
Tim Hardaway Jr.,NYK,29,51.0,48.1,-2.893,2.104,45.0,62.0,46.0,47.0,49.0,49.0,0.025
Maurice Harkless,DET,28,79.0,78.0,-0.963,0.322,77.0,79.0,78.0,78.0,78.0,78.0,0.000
Montrezl Harrell,MIL,27,39.0,37.1,-1.945,2.457,35.0,56.0,36.0,36.0,37.0,38.0,0.021
Aaron Harrison,DAL,27,59.0,57.8,-1.194,1.634,55.0,69.0,57.0,57.0,58.0,58.0,0.023
Andrew Harrison,ORL,27,51.0,48.5,-2.548,2.244,45.0,63.0,47.0,47.0,49.0,50.0,0.026
Gary Harris,LAC,27,43.0,40.3,-2.695,2.220,37.0,58.0,39.0,39.0,41.0,42.0,0.015
Joe Harris,FA,30,41.0,39.0,-1.952,1.082,36.0,42.0,38.0,38.0,40.0,40.0,0.003
John Henson,IND,31,59.0,58.0,-1.028,0.589,56.0,59.0,57.0,58.0,58.0,59.0,0.000
Juancho Hernangómez,CLE,26,51.0,48.6,-2.446,1.812,45.0,63.0,47.0,48.0,49.0,50.0,0.015
Willy Hernangómez,OKC,27,51.0,50.1,-0.923,1.870,47.0,63.0,49.0,49.0,51.0,51.0,0.074
Mario Hezonja,ORL,26,53.0,50.9,-2.073,1.821,48.0,64.0,49.0,50.0,52.0,52.0,0.029
Buddy Hield,SAC,29,48.0,45.8,-2.162,1.875,43.0,61.0,44.0,45.0,46.0,47.0,0.020
Darrun Hilliard,ORL,28,54.0,52.0,-1.974,1.932,48.0,65.0,50.0,51.0,53.0,54.0,0.023
Justin Holiday,FA,32,50.0,40.5,-9.549,0.944,38.0,43.0,39.0,40.0,41.0,42.0,0.000
Rondae Hollis-Jefferson,TOR,26,44.0,39.3,-4.706,2.805,36.0,58.0,38.0,38.0,40.0,40.0,0.023
Richaun Holmes,LAC,28,38.0,36.0,-1.970,2.269,33.0,56.0,35.0,35.0,36.0,37.0,0.018
Rodney Hood,ORL,29,58.0,57.1,-0.881,1.245,55.0,67.0,56.0,57.0,57.0,58.0,0.025
Robbie Hummel,FA,32,44.0,39.2,-4.822,1.081,36.0,42.0,38.0,38.0,40.0,41.0,0.000
R.J. Hunter,BOS,28,43.0,40.0,-2.973,2.668,36.0,58.0,38.0,39.0,40.0,41.0,0.025
Joe Ingles,ORL,34,52.0,45.8,-6.183,1.087,42.0,49.0,44.0,45.0,46.0,47.0,0.000
Damien Inglis,GSW,26,44.0,41.0,-3.047,2.288,37.0,59.0,39.0,40.0,41.0,42.0,0.017
Demetrius Jackson,LAC,27,42.0,39.5,-2.495,2.490,36.0,58.0,38.0,38.0,40.0,41.0,0.021
John Jenkins,MIA,30,55.0,54.5,-0.482,0.705,52.0,56.0,54.0,54.0,55.0,55.0,0.051
Grant Jerrett (PO),ATL,28,57.0,55.5,-1.489,1.656,53.0,68.0,55.0,55.0,56.0,56.0,0.024
Brice Johnson,DEN,27,35.0,32.3,-2.725,2.454,30.0,52.0,31.0,31.0,33.0,33.0,0.021
Chris Johnson,FA,31,47.0,41.7,-5.328,0.902,39.0,44.0,41.0,41.0,42.0,43.0,0.000
Stanley Johnson,GSW,25,62.0,62.0,0.000,0.000,62.0,62.0,62.0,62.0,62.0,62.0,0.000
Tyler Johnson,ATL,29,57.0,55.8,-1.243,1.308,54.0,66.0,55.0,55.0,56.0,56.0,0.016
Nikola Jokić,PHI,26,65.0,66.1,1.146,0.774,64.0,68.0,65.0,66.0,67.0,67.0,0.809
Kevin Jones,WAS,32,62.0,61.0,-0.990,0.567,59.0,62.0,60.0,61.0,61.0,62.0,0.000
Perry Jones,FA,30,47.0,45.9,-1.112,0.927,44.0,48.0,45.0,45.0,46.0,47.0,0.037
Terrence Jones (PO),DAL,29,63.0,63.0,-0.017,0.728,61.0,65.0,62.0,63.0,63.0,64.0,0.225
Tyus Jones,POR,25,49.0,49.0,0.000,0.000,49.0,49.0,49.0,49.0,49.0,49.0,0.000
Frank Kaminsky,LAL,28,57.0,56.6,-0.438,1.407,54.0,68.0,56.0,56.0,57.0,57.0,0.051
Sergey Karasev,FA,28,38.0,35.1,-2.855,2.762,32.0,55.0,34.0,34.0,35.0,36.0,0.025
Ryan Kelly,PHI,30,49.0,47.3,-1.693,0.931,45.0,50.0,46.0,47.0,48.0,48.0,0.001
Michael Kidd-Gilchrist,SA,28,62.0,61.3,-0.728,0.657,60.0,63.0,60.0,61.0,62.0,62.0,0.010
Skal Labissière,POR,25,39.0,39.0,0.000,0.000,39.0,39.0,39.0,39.0,39.0,39.0,0.000
Doron Lamb (PO),PHI,30,60.0,59.2,-0.756,0.642,57.0,61.0,58.0,59.0,60.0,60.0,0.009
Jeremy Lamb,FA,29,35.0,33.7,-1.307,1.993,31.0,51.0,33.0,33.0,34.0,34.0,0.015
Joffrey Lauvergne,FA,30,50.0,49.0,-0.965,1.072,46.0,52.0,48.0,48.0,50.0,50.0,0.085
Zach LaVine,BOS,26,55.0,53.7,-1.258,1.647,50.0,66.0,52.0,53.0,54.0,55.0,0.022
Jake Layman,MIL,27,43.0,38.5,-4.460,2.111,36.0,58.0,37.0,38.0,39.0,40.0,0.011
Ricky Ledo,FA,29,42.0,40.0,-1.985,1.938,36.0,57.0,38.0,39.0,41.0,42.0,0.021
Alex Len,LAC,28,49.0,49.2,0.189,1.809,45.0,62.0,48.0,48.0,50.0,51.0,0.376
Meyers Leonard,TOR,29,46.0,47.5,1.485,1.998,44.0,59.0,46.0,46.0,48.0,49.0,0.730
Caris LeVert,NYK,27,52.0,49.6,-2.386,1.861,46.0,63.0,48.0,49.0,50.0,51.0,0.018
